400 48000
39 328 25
290 336 60
336 290 60
18 43 37
43 18 37
128 182 21
182 128 21
310 355 88
355 310 88
225 15 70
15 225 70
237 53 8
53 237 8
122 183 50
183 122 50
257 297 27
297 257 27
326 69 71
69 326 71
251 349 10
349 251 10
128 239 98
239 128 98
288 210 93
210 288 93
177 290 76
290 177 76
399 152 31
152 399 31
87 377 99
377 87 99
257 166 52
166 257 52
217 241 35
241 217 35
168 98 84
98 168 84
395 376 5
376 395 5
66 228 54
228 66 54
128 308 93
308 128 93
78 197 55
197 78 55
72 374 45
374 72 45
200 325 97
325 200 97
283 12 27
12 283 27
382 221 93
221 382 93
134 39 34
39 134 34
21 159 85
159 21 85
157 154 61
154 157 61
362 172 41
172 362 41
116 252 50
252 116 50
62 282 99
282 62 99
217 354 73
354 217 73
215 106 51
106 215 51
364 390 63
390 364 63
91 372 37
372 91 37
337 59 28
59 337 28
71 80 87
80 71 87
256 190 41
190 256 41
370 152 65
152 370 65
311 269 17
269 311 17
161 283 51
283 161 51
112 100 6
100 112 6
38 267 64
267 38 64
289 232 54
232 289 54
104 275 79
275 104 79
141 212 38
212 141 38
169 236 70
236 169 70
356 44 60
44 356 60
249 14 65
14 249 65
314 326 86
326 314 86
183 39 69
39 183 69
335 152 21
152 335 21
393 190 89
190 393 89
109 31 73
31 109 73
264 135 48
135 264 48
295 277 13
277 295 13
33 398 49
398 33 49
155 355 93
355 155 93
68 156 60
156 68 60
133 23 86
23 133 86
371 158 77
158 371 77
140 45 81
45 140 81
361 390 23
390 361 23
50 100 54
100 50 54
275 364 42
364 275 42
24 259 19
259 24 19
289 244 69
244 289 69
38 351 76
351 38 76
183 19 33
19 183 33
343 104 56
104 343 56
381 75 66
75 381 66
11 167 12
167 11 12
192 129 2
129 192 2
68 131 2
131 68 2
374 7 18
7 374 18
16 383 77
383 16 77
287 272 73
272 287 73
157 262 25
262 157 25
333 397 96
397 333 96
218 341 53
341 218 53
126 274 80
274 126 80
193 285 48
285 193 48
305 30 29
30 305 29
359 98 60
98 359 60
162 24 19
24 162 19
280 41 2
41 280 2
210 280 26
280 210 26
383 389 40
389 383 40
108 323 38
323 108 38
157 93 31
93 157 31
310 220 5
220 310 5
90 13 91
13 90 91
38 270 21
270 38 21
67 229 71
229 67 71
180 343 95
343 180 95
299 224 88
224 299 88
354 386 69
386 354 69
232 369 10
369 232 10
373 30 33
30 373 33
63 187 79
187 63 79
94 49 99
49 94 99
351 139 64
139 351 64
142 130 86
130 142 86
315 149 15
149 315 15
186 281 11
281 186 11
34 133 87
133 34 87
322 87 73
87 322 73
43 319 42
319 43 42
154 244 24
244 154 24
139 259 63
259 139 63
218 353 12
353 218 12
69 305 4
305 69 4
333 399 34
399 333 34
19 315 35
315 19 35
287 53 69
53 287 69
50 87 2
87 50 2
37 362 89
362 37 89
10 5 60
5 10 60
304 111 57
111 304 57
229 203 16
203 229 16
292 21 22
21 292 22
5 43 79
43 5 79
161 328 78
328 161 78
47 300 45
300 47 45
82 187 99
187 82 99
351 189 86
189 351 86
353 226 48
226 353 48
394 236 6
236 394 6
307 92 17
92 307 17
64 321 20
321 64 20
80 166 94
166 80 94
354 123 37
123 354 37
133 284 17
284 133 17
312 331 17
331 312 17
309 365 56
365 309 56
8 269 45
269 8 45
195 222 71
222 195 71
295 169 59
169 295 59
1 76 52
76 1 52
171 140 25
140 171 25
143 172 91
172 143 91
89 127 66
127 89 66
78 212 50
212 78 50
396 124 33
124 396 33
213 386 99
386 213 99
170 394 68
394 170 68
315 141 42
141 315 42
239 37 63
37 239 63
398 390 39
390 398 39
202 113 31
113 202 31
328 257 4
257 328 4
171 346 83
346 171 83
138 25 95
25 138 95
340 21 72
21 340 72
26 234 58
234 26 58
125 356 52
356 125 52
45 272 46
272 45 46
139 111 83
111 139 83
3 61 25
61 3 25
342 216 39
216 342 39
374 144 96
144 374 96
130 267 94
267 130 94
13 357 19
357 13 19
60 250 92
250 60 92
232 276 79
276 232 79
390 353 35
353 390 35
95 398 7
398 95 7
341 137 70
137 341 70
176 140 84
140 176 84
1 83 0
83 1 0
292 9 96
9 292 96
40 139 63
139 40 63
135 104 73
104 135 73
206 164 23
164 206 23
351 130 39
130 351 39
304 365 86
365 304 86
302 25 79
25 302 79
391 147 7
147 391 7
84 331 61
331 84 61
119 331 53
331 119 53
128 27 94
27 128 94
219 343 81
343 219 81
323 168 87
168 323 87
39 243 38
243 39 38
388 194 20
194 388 20
280 98 86
98 280 86
218 352 63
352 218 63
98 295 10
295 98 10
105 379 42
379 105 42
66 98 25
98 66 25
272 178 53
178 272 53
166 397 48
397 166 48
147 272 16
272 147 16
286 312 59
312 286 59
277 300 53
300 277 53
397 132 3
132 397 3
35 351 7
351 35 7
98 49 54
49 98 54
261 106 34
106 261 34
3 125 84
125 3 84
28 397 63
397 28 63
33 115 60
115 33 60
381 214 85
214 381 85
97 100 97
100 97 97
8 329 49
329 8 49
113 279 34
279 113 34
316 314 85
314 316 85
375 365 86
365 375 86
330 226 92
226 330 92
216 229 69
229 216 69
152 209 66
209 152 66
315 195 33
195 315 33
28 176 47
176 28 47
13 226 0
226 13 0
262 186 29
186 262 29
363 300 8
300 363 8
197 216 75
216 197 75
382 144 40
144 382 40
120 26 18
26 120 18
365 194 99
194 365 99
334 346 8
346 334 8
253 262 3
262 253 3
286 242 32
242 286 32
134 207 10
207 134 10
34 69 96
69 34 96
215 384 96
384 215 96
324 182 65
182 324 65
251 116 61
116 251 61
143 237 87
237 143 87
261 202 81
202 261 81
160 88 79
88 160 79
220 341 93
341 220 93
124 228 35
228 124 35
108 362 42
362 108 42
270 396 63
396 270 63
266 211 0
211 266 0
115 87 34
87 115 34
132 290 50
290 132 50
293 33 39
33 293 39
80 294 93
294 80 93
13 54 82
54 13 82
244 275 23
275 244 23
338 351 51
351 338 51
273 11 65
11 273 65
368 281 13
281 368 13
83 99 77
99 83 77
135 214 64
214 135 64
369 346 7
346 369 7
272 191 40
191 272 40
11 223 87
223 11 87
257 236 93
236 257 93
239 81 20
81 239 20
114 371 71
371 114 71
218 196 34
196 218 34
283 164 67
164 283 67
297 200 67
200 297 67
74 335 33
335 74 33
290 257 32
257 290 32
349 129 23
129 349 23
90 92 47
92 90 47
29 349 35
349 29 35
22 140 68
140 22 68
243 255 39
255 243 39
366 25 36
25 366 36
53 260 52
260 53 52
20 157 4
157 20 4
87 183 40
183 87 40
321 26 97
26 321 97
5 327 78
327 5 78
328 369 70
369 328 70
27 398 20
398 27 20
363 21 60
21 363 60
283 216 67
216 283 67
223 182 92
182 223 92
311 235 53
235 311 53
163 208 62
208 163 62
168 295 98
295 168 98
60 168 76
168 60 76
209 173 3
173 209 3
87 54 73
54 87 73
57 81 23
81 57 23
329 396 44
396 329 44
342 280 12
280 342 12
209 55 47
55 209 47
54 366 34
366 54 34
159 81 42
81 159 42
373 201 38
201 373 38
371 213 58
213 371 58
299 22 84
22 299 84
155 61 90
61 155 90
380 71 23
71 380 23
203 0 20
0 203 20
0 342 52
342 0 52
12 104 7
104 12 7
159 158 25
158 159 25
94 317 58
317 94 58
236 290 60
290 236 60
226 214 73
214 226 73
337 65 48
65 337 48
221 220 9
220 221 9
63 200 32
200 63 32
386 4 33
4 386 33
258 356 27
356 258 27
10 368 31
368 10 31
169 128 41
128 169 41
246 174 58
174 246 58
5 10 1
10 5 1
365 189 67
189 365 67
90 126 32
126 90 32
238 299 5
299 238 5
0 362 57
362 0 57
232 348 61
348 232 61
17 207 69
207 17 69
97 169 38
169 97 38
328 339 18
339 328 18
270 185 92
185 270 92
80 142 54
142 80 54
133 107 43
107 133 43
0 150 21
150 0 21
285 388 20
388 285 20
390 340 34
340 390 34
247 125 83
125 247 83
61 94 42
94 61 42
230 191 63
191 230 63
320 120 54
120 320 54
138 342 92
342 138 92
130 22 34
22 130 34
85 108 94
108 85 94
180 108 44
108 180 44
2 345 84
345 2 84
122 287 25
287 122 25
157 135 2
135 157 2
92 148 96
148 92 96
186 330 40
330 186 40
49 251 12
251 49 12
156 389 54
389 156 54
48 72 28
72 48 28
82 157 88
157 82 88
176 337 97
337 176 97
20 339 94
339 20 94
205 14 82
14 205 82
282 123 69
123 282 69
36 215 17
215 36 17
284 353 99
353 284 99
324 354 50
354 324 50
36 110 92
110 36 92
42 158 64
158 42 64
23 241 21
241 23 21
111 369 10
369 111 10
260 390 2
390 260 2
355 147 16
147 355 16
289 381 39
381 289 39
358 17 6
17 358 6
175 301 11
301 175 11
274 178 65
178 274 65
177 166 76
166 177 76
69 161 34
161 69 34
33 136 27
136 33 27
106 199 97
199 106 97
116 60 39
60 116 39
370 367 86
367 370 86
286 208 67
208 286 67
277 166 36
166 277 36
35 293 37
293 35 37
146 119 67
119 146 67
212 296 34
296 212 34
340 317 95
317 340 95
274 350 31
350 274 31
2 8 30
8 2 30
51 125 42
125 51 42
90 47 61
47 90 61
276 334 69
334 276 69
395 163 35
163 395 35
131 151 80
151 131 80
120 297 0
297 120 0
288 61 96
61 288 96
174 1 14
1 174 14
269 228 16
228 269 16
52 182 25
182 52 25
82 233 2
233 82 2
77 323 49
323 77 49
390 151 35
151 390 35
160 146 99
146 160 99
47 229 2
229 47 2
228 349 99
349 228 99
128 189 13
189 128 13
276 363 66
363 276 66
390 184 94
184 390 94
359 236 76
236 359 76
384 271 9
271 384 9
38 300 84
300 38 84
139 290 35
290 139 35
175 50 81
50 175 81
326 50 62
50 326 62
228 278 64
278 228 64
379 358 53
358 379 53
144 234 69
234 144 69
311 177 5
177 311 5
257 136 42
136 257 42
34 72 65
72 34 65
395 110 65
110 395 65
232 249 7
249 232 7
267 376 58
376 267 58
1 302 60
302 1 60
363 82 38
82 363 38
227 14 96
14 227 96
233 158 30
158 233 30
154 69 7
69 154 7
259 327 95
327 259 95
201 313 67
313 201 67
318 260 29
260 318 29
335 92 31
92 335 31
243 312 7
312 243 7
153 313 62
313 153 62
113 228 96
228 113 96
351 56 10
56 351 10
99 241 69
241 99 69
81 395 90
395 81 90
289 254 69
254 289 69
136 8 82
8 136 82
104 326 95
326 104 95
133 214 87
214 133 87
364 57 51
57 364 51
124 210 64
210 124 64
138 323 93
323 138 93
234 226 1
226 234 1
345 325 94
325 345 94
166 6 89
6 166 89
56 247 95
247 56 95
226 384 3
384 226 3
260 40 82
40 260 82
155 173 48
173 155 48
95 90 5
90 95 5
346 166 67
166 346 67
63 304 90
304 63 90
8 90 68
90 8 68
361 35 93
35 361 93
155 201 51
201 155 51
344 210 51
210 344 51
291 388 35
388 291 35
247 248 75
248 247 75
81 356 0
356 81 0
129 51 42
51 129 42
234 349 60
349 234 60
101 364 64
364 101 64
243 372 55
372 243 55
211 333 42
333 211 42
56 40 96
40 56 96
259 336 58
336 259 58
310 228 46
228 310 46
297 75 94
75 297 94
324 156 50
156 324 50
125 285 53
285 125 53
319 71 55
71 319 55
280 124 19
124 280 19
96 367 44
367 96 44
3 130 29
130 3 29
346 186 70
186 346 70
394 45 58
45 394 58
252 308 86
308 252 86
98 205 13
205 98 13
144 130 21
130 144 21
147 207 58
207 147 58
200 78 29
78 200 29
107 358 53
358 107 53
379 7 72
7 379 72
175 10 2
10 175 2
304 308 40
308 304 40
26 302 86
302 26 86
85 106 46
106 85 46
323 204 51
204 323 51
237 301 33
301 237 33
210 48 92
48 210 92
69 200 71
200 69 71
350 308 81
308 350 81
356 287 88
287 356 88
328 62 51
62 328 51
383 318 59
318 383 59
223 345 14
345 223 14
61 382 72
382 61 72
207 257 29
257 207 29
111 94 30
94 111 30
144 257 78
257 144 78
337 326 78
326 337 78
160 228 86
228 160 86
341 184 25
184 341 25
82 65 39
65 82 39
233 48 58
48 233 58
244 223 55
223 244 55
110 285 89
285 110 89
83 44 46
44 83 46
212 155 93
155 212 93
242 300 50
300 242 50
320 189 28
189 320 28
150 349 56
349 150 56
337 242 41
242 337 41
314 324 58
324 314 58
354 109 58
109 354 58
264 354 81
354 264 81
119 16 18
16 119 18
260 99 63
99 260 63
306 263 18
263 306 18
399 105 70
105 399 70
301 377 11
377 301 11
129 128 12
128 129 12
186 17 55
17 186 55
379 283 79
283 379 79
189 237 89
237 189 89
47 53 95
53 47 95
80 124 11
124 80 11
399 384 11
384 399 11
314 243 26
243 314 26
384 242 32
242 384 32
307 96 61
96 307 61
18 225 41
225 18 41
31 363 10
363 31 10
286 294 94
294 286 94
17 35 83
35 17 83
258 82 37
82 258 37
53 115 13
115 53 13
217 114 98
114 217 98
80 380 41
380 80 41
206 364 35
364 206 35
38 223 31
223 38 31
152 242 9
242 152 9
345 225 24
225 345 24
156 63 71
63 156 71
202 80 6
80 202 6
85 291 89
291 85 89
374 344 56
344 374 56
388 161 70
161 388 70
338 241 2
241 338 2
179 48 18
48 179 18
166 38 42
38 166 42
250 142 84
142 250 84
159 88 61
88 159 61
335 196 24
196 335 24
6 398 56
398 6 56
113 35 47
35 113 47
254 362 44
362 254 44
110 302 57
302 110 57
32 240 51
240 32 51
286 371 99
371 286 99
104 89 89
89 104 89
146 339 84
339 146 84
382 50 72
50 382 72
43 386 68
386 43 68
119 392 18
392 119 18
276 57 53
57 276 53
275 263 15
263 275 15
219 325 69
325 219 69
277 309 9
309 277 9
80 195 32
195 80 32
331 300 22
300 331 22
220 46 13
46 220 13
156 29 64
29 156 64
228 24 50
24 228 50
48 144 94
144 48 94
218 372 4
372 218 4
72 247 67
247 72 67
239 19 93
19 239 93
309 248 54
248 309 54
170 328 50
328 170 50
355 259 50
259 355 50
229 31 48
31 229 48
42 188 77
188 42 77
306 368 54
368 306 54
108 369 98
369 108 98
303 187 70
187 303 70
107 211 69
211 107 69
126 3 40
3 126 40
71 264 88
264 71 88
326 386 16
386 326 16
376 341 27
341 376 27
278 122 59
122 278 59
226 165 99
165 226 99
204 23 67
23 204 67
158 132 88
132 158 88
208 387 76
387 208 76
230 94 39
94 230 39
51 172 42
172 51 42
292 244 6
244 292 6
380 122 93
122 380 93
349 98 86
98 349 86
128 376 9
376 128 9
387 202 26
202 387 26
338 358 49
358 338 49
258 68 81
68 258 81
146 228 20
228 146 20
174 58 14
58 174 14
14 62 39
62 14 39
256 354 35
354 256 35
315 334 57
334 315 57
360 235 7
235 360 7
346 364 83
364 346 83
55 303 37
303 55 37
233 242 48
242 233 48
83 100 68
100 83 68
16 246 49
246 16 49
337 21 59
21 337 59
303 387 21
387 303 21
42 243 75
243 42 75
377 110 62
110 377 62
386 70 97
70 386 97
93 17 61
17 93 61
128 24 17
24 128 17
366 258 59
258 366 59
66 293 59
293 66 59
186 309 57
309 186 57
135 246 30
246 135 30
95 102 17
102 95 17
116 96 13
96 116 13
92 74 23
74 92 23
306 60 94
60 306 94
3 106 63
106 3 63
17 234 39
234 17 39
334 152 49
152 334 49
93 218 42
218 93 42
304 5 4
5 304 4
313 92 2
92 313 2
344 187 4
187 344 4
361 256 1
256 361 1
126 348 27
348 126 27
50 254 39
254 50 39
396 209 45
209 396 45
311 226 80
226 311 80
202 112 32
112 202 32
352 157 3
157 352 3
346 61 60
61 346 60
250 327 52
327 250 52
353 271 40
271 353 40
157 184 48
184 157 48
10 311 48
311 10 48
337 313 54
313 337 54
277 261 63
261 277 63
274 124 42
124 274 42
154 326 54
326 154 54
139 278 64
278 139 64
342 225 77
225 342 77
102 27 4
27 102 4
354 380 75
380 354 75
346 90 60
90 346 60
194 100 23
100 194 23
342 390 88
390 342 88
296 219 49
219 296 49
12 93 25
93 12 25
354 248 51
248 354 51
360 387 82
387 360 82
124 329 59
329 124 59
302 383 86
383 302 86
6 337 67
337 6 67
334 236 9
236 334 9
46 30 9
30 46 9
69 325 51
325 69 51
357 173 70
173 357 70
58 185 64
185 58 64
283 139 64
139 283 64
386 52 3
52 386 3
368 176 32
176 368 32
127 30 67
30 127 67
266 37 4
37 266 4
33 371 92
371 33 92
194 17 75
17 194 75
55 38 0
38 55 0
307 347 73
347 307 73
377 357 59
357 377 59
93 192 50
192 93 50
57 178 2
178 57 2
360 147 31
147 360 31
144 226 61
226 144 61
311 92 98
92 311 98
368 77 21
77 368 21
260 271 90
271 260 90
87 279 80
279 87 80
287 186 79
186 287 79
213 163 36
163 213 36
324 209 28
209 324 28
174 266 59
266 174 59
29 227 58
227 29 58
60 371 84
371 60 84
73 235 29
235 73 29
124 203 58
203 124 58
145 15 82
15 145 82
88 103 61
103 88 61
68 342 47
342 68 47
300 155 62
155 300 62
136 31 71
31 136 71
117 158 38
158 117 38
276 187 17
187 276 17
134 199 40
199 134 40
170 272 27
272 170 27
251 396 82
396 251 82
10 94 98
94 10 98
392 182 53
182 392 53
253 202 47
202 253 47
252 54 55
54 252 55
14 191 86
191 14 86
338 260 44
260 338 44
128 88 83
88 128 83
145 222 34
222 145 34
37 344 7
344 37 7
165 196 55
196 165 55
47 206 49
206 47 49
297 150 83
150 297 83
202 3 38
3 202 38
50 255 92
255 50 92
5 221 35
221 5 35
391 111 95
111 391 95
88 239 83
239 88 83
323 336 57
336 323 57
358 326 2
326 358 2
265 91 50
91 265 50
120 90 8
90 120 8
22 388 58
388 22 58
57 190 61
190 57 61
295 240 68
240 295 68
140 197 41
197 140 41
175 141 53
141 175 53
23 229 44
229 23 44
358 152 33
152 358 33
116 110 59
110 116 59
170 327 50
327 170 50
372 0 40
0 372 40
380 374 80
374 380 80
138 31 71
31 138 71
299 279 63
279 299 63
219 19 61
19 219 61
312 146 54
146 312 54
117 169 83
169 117 83
162 128 87
128 162 87
95 196 50
196 95 50
354 366 29
366 354 29
256 338 29
338 256 29
296 318 55
318 296 55
229 8 87
8 229 87
0 307 18
307 0 18
315 78 37
78 315 37
28 390 35
390 28 35
282 108 5
108 282 5
317 222 85
222 317 85
57 269 81
269 57 81
307 223 99
223 307 99
36 79 89
79 36 89
118 327 7
327 118 7
173 156 15
156 173 15
212 108 74
108 212 74
130 376 4
376 130 4
19 356 46
356 19 46
55 239 6
239 55 6
328 97 65
97 328 65
197 130 72
130 197 72
372 129 61
129 372 61
3 18 31
18 3 31
283 177 56
177 283 56
391 344 69
344 391 69
52 370 51
370 52 51
28 26 23
26 28 23
384 72 30
72 384 30
175 179 94
179 175 94
284 59 91
59 284 91
49 209 73
209 49 73
74 181 2
181 74 2
135 137 72
137 135 72
266 20 1
20 266 1
74 11 45
11 74 45
143 15 67
15 143 67
247 43 93
43 247 93
322 380 17
380 322 17
4 107 96
107 4 96
298 391 8
391 298 8
289 393 17
393 289 17
362 67 50
67 362 50
116 154 87
154 116 87
240 372 59
372 240 59
141 46 23
46 141 23
338 142 38
142 338 38
105 389 82
389 105 82
250 263 14
263 250 14
67 267 21
267 67 21
16 165 65
165 16 65
24 6 58
6 24 58
241 320 25
320 241 25
191 388 79
388 191 79
231 228 51
228 231 51
290 369 97
369 290 97
313 259 91
259 313 91
352 316 32
316 352 32
386 166 95
166 386 95
0 185 14
185 0 14
73 201 79
201 73 79
138 177 37
177 138 37
196 18 57
18 196 57
273 162 45
162 273 45
104 393 25
393 104 25
307 235 46
235 307 46
205 149 5
149 205 5
148 53 73
53 148 73
81 39 39
39 81 39
276 391 77
391 276 77
291 64 30
64 291 30
22 155 8
155 22 8
160 351 26
351 160 26
169 177 40
177 169 40
215 281 33
281 215 33
392 189 69
189 392 69
139 346 70
346 139 70
96 94 23
94 96 23
370 175 14
175 370 14
361 4 5
4 361 5
138 295 21
295 138 21
69 269 76
269 69 76
177 29 80
29 177 80
255 199 57
199 255 57
96 366 38
366 96 38
281 358 79
358 281 79
302 49 25
49 302 25
24 146 72
146 24 72
247 116 47
116 247 47
61 77 51
77 61 51
218 216 98
216 218 98
40 237 68
237 40 68
16 366 49
366 16 49
296 221 48
221 296 48
305 269 66
269 305 66
196 151 77
151 196 77
275 5 26
5 275 26
253 30 72
30 253 72
325 229 88
229 325 88
172 243 18
243 172 18
376 61 86
61 376 86
26 101 23
101 26 23
394 70 89
70 394 89
62 396 24
396 62 24
332 63 20
63 332 20
35 40 47
40 35 47
392 18 0
18 392 0
22 143 25
143 22 25
204 383 50
383 204 50
47 301 78
301 47 78
108 387 4
387 108 4
162 262 51
262 162 51
347 102 66
102 347 66
343 326 50
326 343 50
358 298 37
298 358 37
350 98 29
98 350 29
369 198 4
198 369 4
112 176 8
176 112 8
47 278 55
278 47 55
349 308 63
308 349 63
336 364 77
364 336 77
151 15 9
15 151 9
254 314 12
314 254 12
20 210 90
210 20 90
70 168 41
168 70 41
107 71 39
71 107 39
89 40 89
40 89 89
93 104 17
104 93 17
253 151 47
151 253 47
108 52 55
