1218 1320
0 292 1
292 0 1
0 293 1
293 0 1
0 294 1
294 0 1
0 295 1
295 0 1
0 296 1
296 0 1
0 297 1
297 0 1
0 298 1
298 0 1
0 299 1
299 0 1
0 300 1
300 0 1
0 301 1
301 0 1
0 302 1
302 0 1
0 303 1
303 0 1
0 304 1
304 0 1
0 305 1
305 0 1
0 306 1
306 0 1
0 307 1
307 0 1
0 308 1
308 0 1
0 309 1
309 0 1
0 310 1
310 0 1
0 311 1
311 0 1
0 312 1
312 0 1
0 313 1
313 0 1
0 314 1
314 0 1
0 315 1
315 0 1
0 316 1
316 0 1
0 317 1
317 0 1
0 318 1
318 0 1
0 319 1
319 0 1
0 320 1
320 0 1
0 99 1
99 0 1
0 321 1
321 0 1
0 322 1
322 0 1
0 323 1
323 0 1
0 324 1
324 0 1
0 325 1
325 0 1
0 326 1
326 0 1
0 327 1
327 0 1
0 109 1
109 0 1
0 147 1
147 0 1
0 328 1
328 0 1
0 329 1
329 0 1
0 330 1
330 0 1
0 331 1
331 0 1
0 332 1
332 0 1
0 333 1
333 0 1
0 334 1
334 0 1
0 116 1
116 0 1
0 335 1
335 0 1
0 336 1
336 0 1
0 337 1
337 0 1
0 338 1
338 0 1
0 339 1
339 0 1
0 340 1
340 0 1
0 341 1
341 0 1
0 342 1
342 0 1
0 343 1
343 0 1
0 344 1
344 0 1
0 345 1
345 0 1
0 346 1
346 0 1
0 347 1
347 0 1
0 348 1
348 0 1
0 349 1
349 0 1
0 350 1
350 0 1
0 351 1
351 0 1
0 352 1
352 0 1
0 353 1
353 0 1
0 354 1
354 0 1
0 355 1
355 0 1
0 356 1
356 0 1
0 357 1
357 0 1
0 358 1
358 0 1
0 359 1
359 0 1
0 360 1
360 0 1
0 361 1
361 0 1
0 362 1
362 0 1
0 363 1
363 0 1
0 364 1
364 0 1
0 365 1
365 0 1
0 366 1
366 0 1
0 367 1
367 0 1
0 368 1
368 0 1
0 369 1
369 0 1
0 370 1
370 0 1
0 371 1
371 0 1
0 372 1
372 0 1
0 373 1
373 0 1
0 374 1
374 0 1
0 375 1
375 0 1
0 376 1
376 0 1
0 377 1
377 0 1
0 185 1
185 0 1
0 378 1
378 0 1
0 379 1
379 0 1
0 380 1
380 0 1
0 381 1
381 0 1
0 382 1
382 0 1
0 383 1
383 0 1
0 384 1
384 0 1
0 193 1
193 0 1
0 166 1
166 0 1
0 385 1
385 0 1
0 386 1
386 0 1
0 387 1
387 0 1
0 388 1
388 0 1
0 389 1
389 0 1
0 200 1
200 0 1
0 390 1
390 0 1
0 391 1
391 0 1
0 392 1
392 0 1
0 393 1
393 0 1
0 394 1
394 0 1
0 395 1
395 0 1
0 396 1
396 0 1
0 397 1
397 0 1
0 398 1
398 0 1
0 399 1
399 0 1
0 400 1
400 0 1
0 401 1
401 0 1
0 402 1
402 0 1
0 403 1
403 0 1
0 404 1
404 0 1
0 405 1
405 0 1
0 406 1
406 0 1
0 407 1
407 0 1
0 408 1
408 0 1
0 409 1
409 0 1
0 169 1
169 0 1
0 410 1
410 0 1
0 411 1
411 0 1
0 412 1
412 0 1
0 413 1
413 0 1
0 414 1
414 0 1
0 415 1
415 0 1
0 416 1
416 0 1
0 417 1
417 0 1
0 418 1
418 0 1
0 419 1
419 0 1
0 420 1
420 0 1
0 421 1
421 0 1
0 422 1
422 0 1
0 423 1
423 0 1
0 424 1
424 0 1
0 226 1
226 0 1
0 425 1
425 0 1
0 426 1
426 0 1
0 427 1
427 0 1
0 428 1
428 0 1
0 429 1
429 0 1
0 430 1
430 0 1
0 241 1
241 0 1
0 431 1
431 0 1
0 432 1
432 0 1
0 433 1
433 0 1
0 434 1
434 0 1
0 435 1
435 0 1
0 436 1
436 0 1
0 437 1
437 0 1
0 438 1
438 0 1
0 439 1
439 0 1
0 440 1
440 0 1
0 207 1
207 0 1
0 441 1
441 0 1
0 442 1
442 0 1
0 443 1
443 0 1
0 444 1
444 0 1
0 445 1
445 0 1
0 170 1
170 0 1
0 446 1
446 0 1
0 248 1
248 0 1
0 447 1
447 0 1
0 448 1
448 0 1
0 449 1
449 0 1
0 450 1
450 0 1
0 451 1
451 0 1
0 452 1
452 0 1
0 453 1
453 0 1
0 454 1
454 0 1
0 455 1
455 0 1
0 456 1
456 0 1
0 457 1
457 0 1
0 458 1
458 0 1
0 459 1
459 0 1
0 212 1
212 0 1
0 460 1
460 0 1
0 461 1
461 0 1
0 462 1
462 0 1
0 463 1
463 0 1
0 464 1
464 0 1
0 465 1
465 0 1
0 466 1
466 0 1
0 467 1
467 0 1
0 468 1
468 0 1
0 469 1
469 0 1
0 470 1
470 0 1
0 471 1
471 0 1
0 472 1
472 0 1
0 473 1
473 0 1
0 474 1
474 0 1
0 475 1
475 0 1
0 476 1
476 0 1
0 477 1
477 0 1
0 478 1
478 0 1
0 479 1
479 0 1
0 480 1
480 0 1
0 481 1
481 0 1
0 482 1
482 0 1
0 290 1
290 0 1
0 483 1
483 0 1
0 251 1
251 0 1
0 484 1
484 0 1
0 485 1
485 0 1
0 486 1
486 0 1
0 487 1
487 0 1
0 488 1
488 0 1
0 489 1
489 0 1
0 490 1
490 0 1
0 491 1
491 0 1
0 492 1
492 0 1
0 493 1
493 0 1
0 494 1
494 0 1
0 495 1
495 0 1
0 496 1
496 0 1
0 497 1
497 0 1
0 498 1
498 0 1
0 259 1
259 0 1
0 499 1
499 0 1
0 500 1
500 0 1
0 501 1
501 0 1
0 267 1
267 0 1
0 502 1
502 0 1
0 503 1
503 0 1
0 504 1
504 0 1
0 505 1
505 0 1
0 506 1
506 0 1
0 507 1
507 0 1
0 309 1
309 0 1
0 508 1
508 0 1
0 313 1
313 0 1
0 509 1
509 0 1
0 510 1
510 0 1
0 511 1
511 0 1
0 512 1
512 0 1
0 513 1
513 0 1
0 514 1
514 0 1
0 515 1
515 0 1
0 516 1
516 0 1
0 517 1
517 0 1
0 518 1
518 0 1
0 519 1
519 0 1
0 520 1
520 0 1
0 521 1
521 0 1
0 522 1
522 0 1
0 523 1
523 0 1
0 524 1
524 0 1
0 525 1
525 0 1
0 526 1
526 0 1
0 527 1
527 0 1
0 528 1
528 0 1
0 529 1
529 0 1
0 530 1
530 0 1
0 531 1
531 0 1
0 532 1
532 0 1
0 533 1
533 0 1
0 534 1
534 0 1
0 535 1
535 0 1
0 536 1
536 0 1
0 537 1
537 0 1
0 538 1
538 0 1
0 539 1
539 0 1
0 540 1
540 0 1
0 541 1
541 0 1
0 422 1
422 0 1
0 542 1
542 0 1
0 543 1
543 0 1
0 544 1
544 0 1
0 545 1
545 0 1
0 546 1
546 0 1
0 547 1
547 0 1
0 548 1
548 0 1
0 549 1
549 0 1
0 550 1
550 0 1
0 551 1
551 0 1
0 552 1
552 0 1
0 553 1
553 0 1
0 339 1
339 0 1
0 554 1
554 0 1
0 555 1
555 0 1
0 556 1
556 0 1
0 557 1
557 0 1
0 315 1
315 0 1
0 349 1
349 0 1
0 237 1
237 0 1
0 558 1
558 0 1
0 559 1
559 0 1
0 560 1
560 0 1
0 561 1
561 0 1
0 562 1
562 0 1
0 563 1
563 0 1
0 564 1
564 0 1
0 565 1
565 0 1
0 360 1
360 0 1
0 566 1
566 0 1
0 567 1
567 0 1
0 568 1
568 0 1
0 569 1
569 0 1
0 570 1
570 0 1
0 571 1
571 0 1
0 572 1
572 0 1
0 573 1
573 0 1
0 574 1
574 0 1
0 575 1
575 0 1
0 330 1
330 0 1
0 576 1
576 0 1
0 577 1
577 0 1
0 578 1
578 0 1
0 579 1
579 0 1
0 580 1
580 0 1
0 581 1
581 0 1
0 582 1
582 0 1
0 583 1
583 0 1
0 584 1
584 0 1
0 585 1
585 0 1
0 586 1
586 0 1
0 587 1
587 0 1
0 588 1
588 0 1
0 589 1
589 0 1
0 590 1
590 0 1
0 591 1
591 0 1
0 592 1
592 0 1
0 388 1
388 0 1
0 593 1
593 0 1
0 594 1
594 0 1
0 595 1
595 0 1
0 596 1
596 0 1
0 386 1
386 0 1
0 597 1
597 0 1
0 598 1
598 0 1
0 599 1
599 0 1
0 600 1
600 0 1
0 391 1
391 0 1
0 601 1
601 0 1
0 602 1
602 0 1
0 603 1
603 0 1
0 604 1
604 0 1
0 605 1
605 0 1
0 606 1
606 0 1
0 143 1
143 0 1
0 607 1
607 0 1
0 608 1
608 0 1
0 609 1
609 0 1
0 610 1
610 0 1
0 361 1
361 0 1
0 611 1
611 0 1
0 612 1
612 0 1
0 613 1
613 0 1
0 614 1
614 0 1
0 615 1
615 0 1
0 616 1
616 0 1
0 617 1
617 0 1
0 618 1
618 0 1
0 619 1
619 0 1
0 620 1
620 0 1
0 621 1
621 0 1
0 622 1
622 0 1
0 623 1
623 0 1
0 624 1
624 0 1
0 625 1
625 0 1
0 626 1
626 0 1
0 627 1
627 0 1
0 628 1
628 0 1
0 629 1
629 0 1
0 630 1
630 0 1
0 631 1
631 0 1
0 429 1
429 0 1
0 390 1
390 0 1
0 632 1
632 0 1
0 633 1
633 0 1
0 634 1
634 0 1
0 635 1
635 0 1
0 636 1
636 0 1
0 637 1
637 0 1
0 441 1
441 0 1
0 638 1
638 0 1
0 639 1
639 0 1
0 640 1
640 0 1
0 641 1
641 0 1
0 642 1
642 0 1
0 643 1
643 0 1
0 644 1
644 0 1
0 645 1
645 0 1
0 646 1
646 0 1
0 647 1
647 0 1
0 648 1
648 0 1
0 649 1
649 0 1
0 650 1
650 0 1
0 651 1
651 0 1
0 652 1
652 0 1
0 653 1
653 0 1
0 654 1
654 0 1
0 655 1
655 0 1
0 656 1
656 0 1
0 657 1
657 0 1
0 658 1
658 0 1
0 659 1
659 0 1
0 660 1
660 0 1
0 661 1
661 0 1
0 662 1
662 0 1
0 663 1
663 0 1
0 664 1
664 0 1
0 665 1
665 0 1
0 666 1
666 0 1
0 667 1
667 0 1
0 668 1
668 0 1
0 669 1
669 0 1
0 670 1
670 0 1
0 671 1
671 0 1
0 672 1
672 0 1
0 510 1
510 0 1
0 673 1
673 0 1
0 674 1
674 0 1
0 675 1
675 0 1
0 676 1
676 0 1
0 677 1
677 0 1
0 471 1
471 0 1
0 678 1
678 0 1
0 437 1
437 0 1
0 679 1
679 0 1
0 680 1
680 0 1
0 681 1
681 0 1
0 682 1
682 0 1
0 683 1
683 0 1
0 684 1
684 0 1
0 478 1
478 0 1
0 685 1
685 0 1
0 686 1
686 0 1
0 687 1
687 0 1
0 688 1
688 0 1
0 689 1
689 0 1
0 690 1
690 0 1
0 691 1
691 0 1
0 692 1
692 0 1
0 693 1
693 0 1
0 694 1
694 0 1
0 695 1
695 0 1
0 696 1
696 0 1
0 697 1
697 0 1
0 698 1
698 0 1
0 699 1
699 0 1
0 700 1
700 0 1
0 701 1
701 0 1
0 702 1
702 0 1
0 703 1
703 0 1
0 143 1
143 0 1
0 704 1
704 0 1
0 705 1
705 0 1
0 706 1
706 0 1
0 707 1
707 0 1
0 708 1
708 0 1
0 709 1
709 0 1
0 710 1
710 0 1
0 711 1
711 0 1
0 712 1
712 0 1
0 713 1
713 0 1
0 714 1
714 0 1
0 715 1
715 0 1
0 716 1
716 0 1
0 717 1
717 0 1
0 718 1
718 0 1
0 719 1
719 0 1
0 720 1
720 0 1
0 721 1
721 0 1
0 722 1
722 0 1
0 723 1
723 0 1
0 724 1
724 0 1
0 725 1
725 0 1
0 726 1
726 0 1
0 727 1
727 0 1
0 728 1
728 0 1
0 237 1
237 0 1
0 729 1
729 0 1
0 512 1
512 0 1
0 730 1
730 0 1
0 731 1
731 0 1
0 732 1
732 0 1
0 733 1
733 0 1
0 734 1
734 0 1
0 735 1
735 0 1
0 736 1
736 0 1
0 737 1
737 0 1
0 738 1
738 0 1
0 739 1
739 0 1
0 740 1
740 0 1
0 741 1
741 0 1
0 742 1
742 0 1
0 743 1
743 0 1
0 744 1
744 0 1
0 745 1
745 0 1
0 746 1
746 0 1
0 747 1
747 0 1
0 748 1
748 0 1
0 749 1
749 0 1
0 750 1
750 0 1
0 751 1
751 0 1
0 752 1
752 0 1
0 753 1
753 0 1
0 754 1
754 0 1
0 755 1
755 0 1
0 756 1
756 0 1
0 757 1
757 0 1
0 758 1
758 0 1
0 759 1
759 0 1
0 760 1
760 0 1
0 761 1
761 0 1
0 762 1
762 0 1
0 763 1
763 0 1
0 764 1
764 0 1
0 765 1
765 0 1
0 766 1
766 0 1
0 767 1
767 0 1
0 768 1
768 0 1
0 769 1
769 0 1
0 770 1
770 0 1
0 771 1
771 0 1
0 772 1
772 0 1
0 773 1
773 0 1
0 774 1
774 0 1
0 775 1
775 0 1
0 776 1
776 0 1
0 777 1
777 0 1
0 778 1
778 0 1
0 779 1
779 0 1
0 780 1
780 0 1
0 781 1
781 0 1
0 782 1
782 0 1
0 783 1
783 0 1
0 784 1
784 0 1
0 564 1
564 0 1
0 785 1
785 0 1
0 786 1
786 0 1
0 787 1
787 0 1
0 788 1
788 0 1
0 84 1
84 0 1
0 789 1
789 0 1
0 790 1
790 0 1
0 791 1
791 0 1
0 792 1
792 0 1
0 539 1
539 0 1
0 793 1
793 0 1
0 794 1
794 0 1
0 795 1
795 0 1
0 796 1
796 0 1
0 797 1
797 0 1
0 798 1
798 0 1
0 799 1
799 0 1
0 578 1
578 0 1
0 800 1
800 0 1
0 801 1
801 0 1
0 802 1
802 0 1
0 803 1
803 0 1
0 804 1
804 0 1
0 805 1
805 0 1
0 806 1
806 0 1
0 807 1
807 0 1
0 808 1
808 0 1
0 809 1
809 0 1
0 810 1
810 0 1
0 811 1
811 0 1
0 812 1
812 0 1
0 813 1
813 0 1
0 814 1
814 0 1
0 815 1
815 0 1
0 816 1
816 0 1
0 817 1
817 0 1
0 818 1
818 0 1
0 819 1
819 0 1
0 820 1
820 0 1
0 821 1
821 0 1
0 822 1
822 0 1
0 823 1
823 0 1
0 824 1
824 0 1
0 825 1
825 0 1
0 826 1
826 0 1
0 827 1
827 0 1
0 828 1
828 0 1
0 829 1
829 0 1
0 830 1
830 0 1
0 831 1
831 0 1
0 832 1
832 0 1
0 833 1
833 0 1
0 834 1
834 0 1
0 835 1
835 0 1
0 836 1
836 0 1
0 837 1
837 0 1
0 838 1
838 0 1
0 839 1
839 0 1
0 840 1
840 0 1
0 841 1
841 0 1
0 842 1
842 0 1
0 249 1
249 0 1
0 843 1
843 0 1
0 844 1
844 0 1
0 628 1
628 0 1
0 845 1
845 0 1
0 188 1
188 0 1
0 846 1
846 0 1
0 847 1
847 0 1
0 848 1
848 0 1
0 849 1
849 0 1
0 850 1
850 0 1
0 851 1
851 0 1
0 852 1
852 0 1
0 853 1
853 0 1
0 854 1
854 0 1
0 855 1
855 0 1
0 856 1
856 0 1
0 857 1
857 0 1
0 858 1
858 0 1
0 859 1
859 0 1
0 860 1
860 0 1
0 861 1
861 0 1
0 862 1
862 0 1
0 863 1
863 0 1
0 864 1
864 0 1
0 865 1
865 0 1
0 866 1
866 0 1
0 653 1
653 0 1
0 867 1
867 0 1
0 868 1
868 0 1
0 869 1
869 0 1
0 870 1
870 0 1
0 871 1
871 0 1
0 872 1
872 0 1
0 873 1
873 0 1
0 874 1
874 0 1
0 875 1
875 0 1
0 876 1
876 0 1
0 331 1
331 0 1
0 877 1
877 0 1
0 878 1
878 0 1
0 879 1
879 0 1
0 880 1
880 0 1
0 881 1
881 0 1
0 882 1
882 0 1
0 883 1
883 0 1
0 884 1
884 0 1
0 170 1
170 0 1
0 885 1
885 0 1
0 886 1
886 0 1
0 887 1
887 0 1
0 677 1
677 0 1
0 888 1
888 0 1
0 889 1
889 0 1
0 890 1
890 0 1
0 891 1
891 0 1
0 892 1
892 0 1
0 893 1
893 0 1
0 894 1
894 0 1
0 895 1
895 0 1
0 896 1
896 0 1
0 897 1
897 0 1
0 898 1
898 0 1
0 899 1
899 0 1
0 900 1
900 0 1
0 901 1
901 0 1
0 902 1
902 0 1
0 903 1
903 0 1
0 904 1
904 0 1
0 905 1
905 0 1
0 906 1
906 0 1
0 907 1
907 0 1
0 908 1
908 0 1
0 909 1
909 0 1
0 704 1
704 0 1
0 910 1
910 0 1
0 911 1
911 0 1
0 912 1
912 0 1
0 913 1
913 0 1
0 914 1
914 0 1
0 915 1
915 0 1
0 916 1
916 0 1
0 917 1
917 0 1
0 918 1
918 0 1
0 919 1
919 0 1
0 920 1
920 0 1
0 921 1
921 0 1
0 922 1
922 0 1
0 923 1
923 0 1
0 924 1
924 0 1
0 925 1
925 0 1
0 926 1
926 0 1
0 927 1
927 0 1
0 683 1
683 0 1
0 928 1
928 0 1
0 929 1
929 0 1
0 930 1
930 0 1
0 931 1
931 0 1
0 932 1
932 0 1
0 933 1
933 0 1
0 934 1
934 0 1
0 935 1
935 0 1
0 936 1
936 0 1
0 937 1
937 0 1
0 746 1
746 0 1
0 751 1
751 0 1
0 938 1
938 0 1
0 939 1
939 0 1
0 940 1
940 0 1
0 941 1
941 0 1
0 942 1
942 0 1
0 943 1
943 0 1
0 944 1
944 0 1
0 945 1
945 0 1
0 946 1
946 0 1
0 947 1
947 0 1
0 948 1
948 0 1
0 949 1
949 0 1
0 950 1
950 0 1
0 772 1
772 0 1
0 951 1
951 0 1
0 952 1
952 0 1
0 953 1
953 0 1
0 954 1
954 0 1
0 955 1
955 0 1
0 956 1
956 0 1
0 957 1
957 0 1
0 791 1
791 0 1
0 800 1
800 0 1
0 958 1
958 0 1
0 959 1
959 0 1
0 491 1
491 0 1
0 52 1
52 0 1
0 960 1
960 0 1
0 961 1
961 0 1
0 962 1
962 0 1
0 963 1
963 0 1
0 964 1
964 0 1
0 965 1
965 0 1
0 966 1
966 0 1
0 967 1
967 0 1
0 968 1
968 0 1
0 969 1
969 0 1
0 970 1
970 0 1
0 971 1
971 0 1
0 972 1
972 0 1
0 973 1
973 0 1
0 974 1
974 0 1
0 975 1
975 0 1
0 976 1
976 0 1
0 977 1
977 0 1
0 978 1
978 0 1
0 979 1
979 0 1
0 219 1
219 0 1
0 980 1
980 0 1
0 981 1
981 0 1
0 982 1
982 0 1
0 983 1
983 0 1
0 984 1
984 0 1
0 985 1
985 0 1
0 986 1
986 0 1
0 987 1
987 0 1
0 988 1
988 0 1
0 989 1
989 0 1
0 990 1
990 0 1
0 991 1
991 0 1
0 992 1
992 0 1
0 993 1
993 0 1
0 994 1
994 0 1
0 995 1
995 0 1
0 996 1
996 0 1
0 997 1
997 0 1
0 998 1
998 0 1
0 999 1
999 0 1
0 1000 1
1000 0 1
0 1001 1
1001 0 1
0 1002 1
1002 0 1
0 1003 1
1003 0 1
0 1004 1
1004 0 1
0 1005 1
1005 0 1
0 1006 1
1006 0 1
0 1007 1
1007 0 1
0 1008 1
1008 0 1
0 806 1
806 0 1
0 1009 1
1009 0 1
0 1010 1
1010 0 1
0 1011 1
1011 0 1
0 846 1
846 0 1
0 1012 1
1012 0 1
0 8 1
8 0 1
0 1013 1
1013 0 1
0 1014 1
1014 0 1
0 1015 1
1015 0 1
0 1016 1
1016 0 1
0 17 1
17 0 1
0 1017 1
1017 0 1
0 1018 1
1018 0 1
0 1019 1
1019 0 1
0 239 1
239 0 1
0 1020 1
1020 0 1
0 1021 1
1021 0 1
0 1022 1
1022 0 1
0 1023 1
1023 0 1
0 1024 1
1024 0 1
0 1025 1
1025 0 1
0 1026 1
1026 0 1
0 863 1
863 0 1
0 1027 1
1027 0 1
0 1028 1
1028 0 1
0 1029 1
1029 0 1
0 1030 1
1030 0 1
0 1031 1
1031 0 1
0 1032 1
1032 0 1
0 1033 1
1033 0 1
0 871 1
871 0 1
0 1034 1
1034 0 1
0 1035 1
1035 0 1
0 880 1
880 0 1
0 881 1
881 0 1
0 1036 1
1036 0 1
0 1037 1
1037 0 1
0 1038 1
1038 0 1
0 1039 1
1039 0 1
0 1040 1
1040 0 1
0 1041 1
1041 0 1
0 1042 1
1042 0 1
0 1043 1
1043 0 1
0 1044 1
1044 0 1
0 1045 1
1045 0 1
0 1046 1
1046 0 1
0 1047 1
1047 0 1
0 1048 1
1048 0 1
0 1049 1
1049 0 1
0 1050 1
1050 0 1
0 1051 1
1051 0 1
0 1052 1
1052 0 1
0 1053 1
1053 0 1
0 1054 1
1054 0 1
0 1055 1
1055 0 1
0 1056 1
1056 0 1
0 1057 1
1057 0 1
0 1058 1
1058 0 1
0 84 1
84 0 1
0 1059 1
1059 0 1
0 1060 1
1060 0 1
0 904 1
904 0 1
0 28 1
28 0 1
0 1061 1
1061 0 1
0 1062 1
1062 0 1
0 1063 1
1063 0 1
0 1064 1
1064 0 1
0 1065 1
1065 0 1
0 1066 1
1066 0 1
0 1067 1
1067 0 1
0 1068 1
1068 0 1
0 1069 1
1069 0 1
0 1070 1
